block size,buffer size,time
2,2,34.667834
2,4,32.532518
2,8,32.472505
2,16,31.167492
2,32,31.849579
2,64,31.714424
2,128,31.187918
2,256,32.266663
2,512,29.682549
2,1024,31.666105
2,2048,31.163377
2,4096,31.656501
2,8192,31.548486
2,16384,32.389927
2,32768,32.042952
2,65536,31.931618
2,131072,30.896557
2,262144,31.024753
2,524288,31.414919
2,1048576,30.770269
2,2097152,29.539032
2,4194304,26.782157
2,8388608,26.444084
4,2,17.1683
4,4,16.159348
4,8,16.038601
4,16,16.058663
4,32,15.846419
4,64,16.093837
4,128,16.096263
4,256,15.206245
4,512,16.307707
4,1024,15.96036
4,2048,15.483661
4,4096,16.000103
4,8192,15.309005
4,16384,15.877099
4,32768,15.794998
4,65536,15.794359
4,131072,15.510081
4,262144,15.766379
4,524288,14.977834
4,1048576,14.717601
4,2097152,13.236653
4,4194304,13.256908
4,8388608,13.495106
8,2,8.550473
8,4,8.195982
8,8,7.720614
8,16,8.091122
8,32,7.786186
8,64,8.227485
8,128,7.853127
8,256,8.018529
8,512,8.015898
8,1024,8.110661
8,2048,8.134345
8,4096,7.722427
8,8192,7.835708
8,16384,8.11581
8,32768,8.041481
8,65536,8.095754
8,131072,7.540543
8,262144,7.416607
8,524288,7.475501
8,1048576,6.624165
8,2097152,6.540809
8,4194304,6.559791
8,8388608,6.856825
16,2,4.273517
16,4,4.141756
16,8,4.043796
16,16,4.075847
16,32,4.106264
16,64,3.816575
16,128,3.800845
16,256,3.979312
16,512,4.009199
16,1024,4.046626
16,2048,3.989607
16,4096,3.773055
16,8192,3.929939
16,16384,3.876918
16,32768,3.981745
16,65536,4.061226
16,131072,3.731319
16,262144,3.371359
16,524288,3.105067
16,1048576,3.295546
16,2097152,2.911577
16,4194304,3.164341
16,8388608,3.17706
32,2,2.163367
32,4,2.11565
32,8,1.957669
32,16,2.083955
32,32,2.007645
32,64,2.007939
32,128,2.019864
32,256,1.931939
32,512,1.982522
32,1024,1.95655
32,2048,2.030085
32,4096,2.038624
32,8192,2.007903
32,16384,1.848921
32,32768,1.705832
32,65536,1.478699
32,131072,1.933992
32,262144,1.785564
32,524288,1.736571
32,1048576,1.79054
32,2097152,1.652927
32,4194304,1.627942
32,8388608,1.746712
64,2,1.094497
64,4,1.086417
64,8,1.06662
64,16,1.058915
64,32,0.982065
64,64,0.981481
64,128,0.815551
64,256,0.885856
64,512,0.892174
64,1024,0.874288
64,2048,1.061519
64,4096,1.042667
64,8192,0.846137
64,16384,0.811847
64,32768,0.856556
64,65536,0.795496
64,131072,0.974238
64,262144,0.832665
64,524288,0.955028
64,1048576,0.836666
64,2097152,0.927908
64,4194304,0.805979
64,8388608,0.949119
128,2,0.600207
128,4,0.589951
128,8,0.617798
128,16,0.589319
128,32,0.561089
128,64,0.469382
128,128,0.451763
128,256,0.430545
128,512,0.39446
128,1024,0.408606
128,2048,0.433165
128,4096,0.380066
128,8192,0.434083
128,16384,0.418138
128,32768,0.422961
128,65536,0.386259
128,131072,0.417346
128,262144,0.430893
128,524288,0.408381
128,1048576,0.411469
128,2097152,0.420191
128,4194304,0.463896
128,8388608,0.402288
256,2,0.329609
256,4,0.333205
256,8,0.326779
256,16,0.295805
256,32,0.301991
256,64,0.258191
256,128,0.269209
256,256,0.319974
256,512,0.277684
256,1024,0.251771
256,2048,0.259797
256,4096,0.262653
256,8192,0.284455
256,16384,0.258104
256,32768,0.277103
256,65536,0.261367
256,131072,0.299511
256,262144,0.237778
256,524288,0.276328
256,1048576,0.287915
256,2097152,0.272543
256,4194304,0.254864
256,8388608,0.2746
512,2,0.198865
512,4,0.213993
512,8,0.180111
512,16,0.173239
512,32,0.179224
512,64,0.211143
512,128,0.172903
512,256,0.181799
512,512,0.208731
512,1024,0.184737
512,2048,0.195182
512,4096,0.179638
512,8192,0.173242
512,16384,0.180643
512,32768,0.171501
512,65536,0.1894
512,131072,0.189956
512,262144,0.180529
512,524288,0.175159
512,1048576,0.203543
512,2097152,0.191706
512,4194304,0.199991
512,8388608,0.169047
1024,2,0.16579
1024,4,0.1625
1024,8,0.158983
1024,16,0.14207
1024,32,0.174335
1024,64,0.147589
1024,128,0.167691
1024,256,0.148647
1024,512,0.163348
1024,1024,0.164273
1024,2048,0.177355
1024,4096,0.16407
1024,8192,0.172971
1024,16384,0.144059
1024,32768,0.153932
1024,65536,0.149914
1024,131072,0.152872
1024,262144,0.146763
1024,524288,0.136941
1024,1048576,0.155436
1024,2097152,0.150045
1024,4194304,0.171578
1024,8388608,0.137326
2048,2,0.135714
2048,4,0.126648
2048,8,0.130081
2048,16,0.136808
2048,32,0.140483
2048,64,0.161336
2048,128,0.134897
2048,256,0.154453
2048,512,0.134003
2048,1024,0.136486
2048,2048,0.168553
2048,4096,0.139979
2048,8192,0.149817
2048,16384,0.167291
2048,32768,0.129325
2048,65536,0.149918
2048,131072,0.144525
2048,262144,0.145491
2048,524288,0.14514
2048,1048576,0.13271
2048,2097152,0.135098
2048,4194304,0.143768
2048,8388608,0.171314
4096,2,0.112181
4096,4,0.160738
4096,8,0.13336
4096,16,0.141468
4096,32,0.137889
4096,64,0.176873
4096,128,0.130845
4096,256,0.164186
4096,512,0.109222
4096,1024,0.126929
4096,2048,0.132825
4096,4096,0.14354
4096,8192,0.153161
4096,16384,0.126727
4096,32768,0.134377
4096,65536,0.127075
4096,131072,0.165446
4096,262144,0.126872
4096,524288,0.13113
4096,1048576,0.138496
4096,2097152,0.135848
4096,4194304,0.126309
4096,8388608,0.130117
8192,2,0.132709
8192,4,0.136528
8192,8,0.131712
8192,16,0.138154
8192,32,0.151055
8192,64,0.134966
8192,128,0.130042
8192,256,0.142431
8192,512,0.127316
8192,1024,0.124937
8192,2048,0.14282
8192,4096,0.165978
8192,8192,0.140709
8192,16384,0.138449
8192,32768,0.128005
8192,65536,0.139059
8192,131072,0.136173
8192,262144,0.125795
8192,524288,0.133105
8192,1048576,0.126705
8192,2097152,0.125822
8192,4194304,0.12822
8192,8388608,0.134219
16384,2,0.128862
16384,4,0.13447
16384,8,0.146758
16384,16,0.124697
16384,32,0.123311
16384,64,0.113444
16384,128,0.126848
16384,256,0.132005
16384,512,0.141964
16384,1024,0.13096
16384,2048,0.13014
16384,4096,0.134342
16384,8192,0.130715
16384,16384,0.138341
16384,32768,0.131402
16384,65536,0.127308
16384,131072,0.133797
16384,262144,0.127294
16384,524288,0.126829
16384,1048576,0.124806
16384,2097152,0.128262
16384,4194304,0.160748
16384,8388608,0.150909
32768,2,0.116113
32768,4,0.135644
32768,8,0.127985
32768,16,0.129767
32768,32,0.129672
32768,64,0.125712
32768,128,0.131217
32768,256,0.13631
32768,512,0.125675
32768,1024,0.13036
32768,2048,0.126939
32768,4096,0.146226
32768,8192,0.128083
32768,16384,0.132658
32768,32768,0.131523
32768,65536,0.122947
32768,131072,0.134302
32768,262144,0.126818
32768,524288,0.132521
32768,1048576,0.140613
32768,2097152,0.124824
32768,4194304,0.125253
32768,8388608,0.135328
65536,2,0.132361
65536,4,0.126042
65536,8,0.136103
65536,16,0.126478
65536,32,0.123531
65536,64,0.135077
65536,128,0.129757
65536,256,0.122279
65536,512,0.156332
65536,1024,0.123067
65536,2048,0.142329
65536,4096,0.12582
65536,8192,0.133539
65536,16384,0.122425
65536,32768,0.124891
65536,65536,0.115225
65536,131072,0.129031
65536,262144,0.13931
65536,524288,0.142944
65536,1048576,0.138579
65536,2097152,0.116575
65536,4194304,0.121993
65536,8388608,0.157604
131072,2,0.130909
131072,4,0.13172
131072,8,0.110872
131072,16,0.127922
131072,32,0.109485
131072,64,0.156359
131072,128,0.130464
131072,256,0.125945
131072,512,0.129941
131072,1024,0.135146
131072,2048,0.125283
131072,4096,0.127446
131072,8192,0.127237
131072,16384,0.154876
131072,32768,0.126892
131072,65536,0.125814
131072,131072,0.128508
131072,262144,0.137485
131072,524288,0.125631
131072,1048576,0.131178
131072,2097152,0.122634
131072,4194304,0.125484
131072,8388608,0.144325
262144,2,0.147136
262144,4,0.133149
262144,8,0.11816
