block size,buffer size,time
262144,16,0.141032
262144,32,0.12734
262144,64,0.12817
262144,128,0.123405
262144,256,0.142454
262144,512,0.127228
262144,1024,0.124387
262144,2048,0.138345
262144,4096,0.149682
262144,8192,0.143389
262144,16384,0.129113
262144,32768,0.129683
262144,65536,0.109132
262144,131072,0.137398
262144,262144,0.135881
262144,524288,0.153392
262144,1048576,0.124584
262144,2097152,0.162025
262144,4194304,0.13524
262144,8388608,0.142452
524288,2,0.132154
524288,4,0.13417
524288,8,0.141716
524288,16,0.138501
524288,32,0.14635
524288,64,0.145873
524288,128,0.126931
524288,256,0.153263
524288,512,0.146484
524288,1024,0.146981
524288,2048,0.144709
524288,4096,0.14808
524288,8192,0.127705
524288,16384,0.145919
524288,32768,0.132137
524288,65536,0.143248
524288,131072,0.128653
524288,262144,0.126036
524288,524288,0.141286
524288,1048576,0.13781
524288,2097152,0.125332
524288,4194304,0.134127
524288,8388608,0.124069
1048576,2,0.125334
1048576,4,0.136844
1048576,8,0.135507
1048576,16,0.143708
1048576,32,0.128281
1048576,64,0.159817
1048576,128,0.139313
1048576,256,0.125081
1048576,512,0.138687
1048576,1024,0.125563
1048576,2048,0.12989
1048576,4096,0.127334
1048576,8192,0.149182
1048576,16384,0.129945
1048576,32768,0.147591
1048576,65536,0.148425
1048576,131072,0.125778
1048576,262144,0.12747
1048576,524288,0.129165
1048576,1048576,0.146871
1048576,2097152,0.128216
1048576,4194304,0.129066
1048576,8388608,0.155364
2097152,2,0.154582
2097152,4,0.131355
2097152,8,0.153975
2097152,16,0.149189
2097152,32,0.130095
2097152,64,0.135983
2097152,128,0.126772
2097152,256,0.143534
2097152,512,0.137088
2097152,1024,0.140147
2097152,2048,0.15703
2097152,4096,0.138705
2097152,8192,0.152376
2097152,16384,0.130356
2097152,32768,0.170183
2097152,65536,0.128593
2097152,131072,0.141982
2097152,262144,0.154107
2097152,524288,0.130763
2097152,1048576,0.129199
2097152,2097152,0.135863
2097152,4194304,0.168269
2097152,8388608,0.144342
4194304,2,0.161944
4194304,4,0.135516
4194304,8,0.142459
4194304,16,0.132747
4194304,32,0.139843
4194304,64,0.164418
4194304,128,0.156945
4194304,256,0.154821
4194304,512,0.149542
4194304,1024,0.143807
4194304,2048,0.13724
4194304,4096,0.173189
4194304,8192,0.141176
4194304,16384,0.142694
4194304,32768,0.154885
4194304,65536,0.157472
4194304,131072,0.145216
4194304,262144,0.15486
4194304,524288,0.14289
4194304,1048576,0.123722
4194304,2097152,0.162009
4194304,4194304,0.156866
4194304,8388608,0.134718
8388608,2,0.159207
8388608,4,0.177339
8388608,8,0.146109
8388608,16,0.152469
8388608,32,0.181924
8388608,64,0.147956
8388608,128,0.159635
8388608,256,0.15412
8388608,512,0.157389
8388608,1024,0.156106
8388608,2048,0.173456
8388608,4096,0.165565
8388608,8192,0.176987
8388608,16384,0.183466
8388608,32768,0.153925
8388608,65536,0.143245
8388608,131072,0.148235
8388608,262144,0.152564
8388608,524288,0.160468
8388608,1048576,0.170539
8388608,2097152,0.152372
8388608,4194304,0.179424
8388608,8388608,0.151522
