block size,buffer size,time
32768,65536,0.01398
32768,131072,0.017559
32768,262144,0.018382
32768,524288,0.020534
65536,2,0.020406
65536,4,0.020317
65536,8,0.019142
65536,16,0.020306
65536,32,0.019995
65536,64,0.02059
65536,128,0.020016
65536,256,0.020196
65536,512,0.020585
65536,1024,0.021095
65536,2048,0.018137
65536,4096,0.020594
65536,8192,0.018611
65536,16384,0.016008
65536,32768,0.021108
65536,65536,0.020925
65536,131072,0.018754
65536,262144,0.020372
65536,524288,0.019715
131072,2,0.02051
131072,4,0.018631
131072,8,0.022784
131072,16,0.020713
131072,32,0.02121
131072,64,0.019491
131072,128,0.018291
131072,256,0.021004
131072,512,0.021047
131072,1024,0.020211
131072,2048,0.021127
131072,4096,0.018171
131072,8192,0.017642
131072,16384,0.01808
131072,32768,0.01976
131072,65536,0.017356
131072,131072,0.018475
131072,262144,0.017992
131072,524288,0.012239
262144,2,0.018178
262144,4,0.019726
262144,8,0.02061
262144,16,0.018043
262144,32,0.019529
262144,64,0.019296
262144,128,0.020521
262144,256,0.020008
262144,512,0.020676
262144,1024,0.020079
262144,2048,0.016804
262144,4096,0.01711
262144,8192,0.020648
262144,16384,0.018803
262144,32768,0.020207
262144,65536,0.01913
262144,131072,0.021058
262144,262144,0.018759
262144,524288,0.020623
524288,2,0.019114
524288,4,0.021383
524288,8,0.019411
524288,16,0.020939
524288,32,0.020918
524288,64,0.017376
524288,128,0.021573
524288,256,0.021842
524288,512,0.017413
524288,1024,0.020339
524288,2048,0.018951
524288,4096,0.021249
524288,8192,0.020676
524288,16384,0.018219
524288,32768,0.017524
524288,65536,0.019206
524288,131072,0.018291
524288,262144,0.018881
524288,524288,0.019364
