block size,buffer size,time
2,2,0.031068
2,4,0.029194
2,8,0.028837
2,16,0.023813
2,32,0.020878
2,64,0.028873
2,128,0.027223
2,256,0.024216
2,512,0.019132
2,1024,0.019805
2,2048,0.022951
2,4096,0.018095
2,8192,0.018555
4,2,0.015989
4,4,0.014141
4,8,0.014607
4,16,0.015361
4,32,0.01233
4,64,0.012895
4,128,0.013674
4,256,0.010611
4,512,0.010411
4,1024,0.010356
4,2048,0.011559
4,4096,0.010354
4,8192,0.00952
8,2,0.006788
8,4,0.007715
8,8,0.006612
8,16,0.007045
8,32,0.005383
8,64,0.00506
8,128,0.00637
8,256,0.006603
8,512,0.005633
8,1024,0.004957
8,2048,0.003706
8,4096,0.005039
8,8192,0.005916
16,2,0.003588
16,4,0.003831
16,8,0.003639
16,16,0.003241
16,32,0.003363
16,64,0.003314
16,128,0.003432
16,256,0.003132
16,512,0.002679
16,1024,0.003139
16,2048,0.002673
16,4096,0.002775
16,8192,0.002691
32,2,0.001937
32,4,0.00219
32,8,0.00202
32,16,0.002063
32,32,0.00196
32,64,0.001865
32,128,0.001474
32,256,0.001722
32,512,0.001723
32,1024,0.001585
32,2048,0.001311
32,4096,0.001752
32,8192,0.001666
64,2,0.00142
64,4,0.001281
64,8,0.001214
64,16,0.001157
64,32,0.001186
64,64,0.001089
64,128,0.000954
64,256,0.000972
64,512,0.001063
64,1024,0.000844
64,2048,0.001041
64,4096,0.001117
64,8192,0.000971
128,2,0.000898
128,4,0.000799
128,8,0.000755
128,16,0.000715
128,32,0.000542
128,64,0.000658
128,128,0.000654
128,256,0.000623
128,512,0.00064
128,1024,0.00066
128,2048,0.000614
128,4096,0.000665
128,8192,0.000621
256,2,0.000571
256,4,0.000631
256,8,0.000581
256,16,0.000437
256,32,0.000428
256,64,0.000384
256,128,0.000491
256,256,0.000451
256,512,0.000526
256,1024,0.000465
256,2048,0.000483
256,4096,0.000478
256,8192,0.000367
512,2,0.000448
512,4,0.000446
512,8,0.000456
512,16,0.000345
512,32,0.000415
512,64,0.00038
512,128,0.00042
512,256,0.000387
512,512,0.000377
512,1024,0.000385
512,2048,0.000407
512,4096,0.000415
512,8192,0.000417
1024,2,0.00047
1024,4,0.000431
1024,8,0.000352
1024,16,0.000362
1024,32,0.000383
1024,64,0.000378
1024,128,0.000319
1024,256,0.000369
1024,512,0.000419
1024,1024,0.000329
1024,2048,0.000355
1024,4096,0.000418
1024,8192,0.000383
2048,2,0.000393
2048,4,0.000306
2048,8,0.000368
2048,16,0.000311
2048,32,0.000268
2048,64,0.000288
2048,128,0.000303
2048,256,0.000357
2048,512,0.000283
2048,1024,0.00036
2048,2048,0.000286
2048,4096,0.000232
2048,8192,0.000303
4096,2,0.000225
4096,4,0.000231
4096,8,0.000213
4096,16,0.00021
4096,32,0.000209
4096,64,0.000219
4096,128,0.000226
4096,256,0.000215
4096,512,0.000217
4096,1024,0.000199
4096,2048,0.000211
4096,4096,0.000225
4096,8192,0.000215
8192,2,0.000203
8192,4,0.000215
8192,8,0.000202
8192,16,0.000205
8192,32,0.00027
8192,64,0.000285
8192,128,0.000283
8192,256,0.000251
8192,512,0.000238
8192,1024,0.000212
8192,2048,0.000235
8192,4096,0.000244
8192,8192,0.000275
