block size,buffer size,time
2,2,0.002513
2,4,0.003053
2,8,0.002807
2,16,0.002702
2,32,0.002416
2,64,0.002795
2,128,0.002627
2,256,0.002043
2,512,0.002025
4,2,0.00164
4,4,0.001808
4,8,0.001544
4,16,0.001566
4,32,0.001444
4,64,0.001202
4,128,0.001374
4,256,0.001152
4,512,0.001021
8,2,0.000919
8,4,0.000975
8,8,0.000734
8,16,0.000862
8,32,0.000679
8,64,0.00079
8,128,0.000722
8,256,0.000583
8,512,0.000686
16,2,0.000612
16,4,0.000589
16,8,0.000662
16,16,0.000567
16,32,0.000561
16,64,0.000463
16,128,0.00053
16,256,0.000484
16,512,0.000383
32,2,0.000417
32,4,0.000447
32,8,0.000442
32,16,0.000338
32,32,0.000324
32,64,0.000279
32,128,0.000341
32,256,0.00034
32,512,0.000348
64,2,0.000375
64,4,0.000324
64,8,0.000328
64,16,0.000242
64,32,0.000283
64,64,0.000252
64,128,0.000272
64,256,0.000283
64,512,0.000262
128,2,0.000293
128,4,0.000268
128,8,0.000207
128,16,0.000228
128,32,0.000226
128,64,0.000231
128,128,0.000216
128,256,0.000242
128,512,0.000222
256,2,0.000272
256,4,0.000208
256,8,0.00021
256,16,0.000209
256,32,0.000198
256,64,0.000198
256,128,0.000197
256,256,0.000185
256,512,0.000192
512,2,0.000183
512,4,0.000184
512,8,0.000178
512,16,0.0002
512,32,0.000177
512,64,0.000174
512,128,0.000178
512,256,0.000175
512,512,0.000191
