block size,buffer size,time
2,1024,289.113126
2,2048,297.177263
2,4096,269.125573
2,8192,285.174092
2,16384,293.357734
2,32768,296.419746
2,65536,304.271558
2,131072,312.763226
2,262144,312.084351
2,524288,313.747457
2,1048576,269.715949
2,2097152,314.01734
2,4194304,300.627499
2,8388608,260.03832
2,16777216,249.720785
2,33554432,241.48805
2,67108864,270.906576
4,1024,158.180828
4,2048,162.635691
4,4096,160.227618
4,8192,161.867759
4,16384,162.224309
4,32768,159.934793
4,65536,160.651921
4,131072,160.20275
4,262144,160.865463
4,524288,160.304266
4,1048576,160.792461
4,2097152,159.235422
4,4194304,155.866185
4,8388608,150.350254
4,16777216,139.06417
4,33554432,135.214742
4,67108864,134.908992
8,1024,81.871362
8,2048,81.461952
8,4096,81.427751
8,8192,81.706836
8,16384,82.080673
8,32768,81.201639
8,65536,79.932535
8,131072,81.962176
8,262144,81.227261
8,524288,79.770451
8,1048576,79.88191
8,2097152,77.828755
8,4194304,75.261235
8,8388608,69.827187
8,16777216,66.763151
8,33554432,67.478326
8,67108864,67.491551
16,1024,40.654747
16,2048,41.242328
16,4096,40.353509
16,8192,41.135721
16,16384,40.941063
16,32768,40.895056
16,65536,41.010704
16,131072,41.433504
16,262144,40.437483
16,524288,40.380882
16,1048576,39.413888
16,2097152,38.396548
16,4194304,35.401558
16,8388608,34.03898
16,16777216,33.779164
16,33554432,34.333642
16,67108864,34.569779
32,1024,21.129766
32,2048,20.911824
32,4096,20.916094
32,8192,21.112327
32,16384,20.836509
32,32768,21.282211
32,65536,20.925294
32,131072,20.293785
32,262144,19.838446
32,524288,20.292192
32,1048576,19.851597
32,2097152,17.916465
32,4194304,18.12418
32,8388608,17.459965
32,16777216,18.416853
32,33554432,18.188995
32,67108864,17.612553
64,1024,10.669125
64,2048,10.606512
64,4096,10.705512
64,8192,10.637769
64,16384,10.556591
64,32768,10.732166
64,65536,10.190134
64,131072,10.318044
64,262144,10.116693
64,524288,9.957095
64,1048576,9.877584
64,2097152,9.579518
64,4194304,9.320488
64,8388608,9.018861
64,16777216,9.397582
64,33554432,9.718117
64,67108864,9.328419
128,1024,4.806039
128,2048,5.510915
128,4096,5.830659
128,8192,4.718181
128,16384,4.818607
128,32768,5.99207
128,65536,5.517901
128,131072,5.64325
128,262144,4.60934
128,524288,5.515106
128,1048576,4.848527
128,2097152,5.43076
128,4194304,5.273637
128,8388608,4.91857
128,16777216,4.691714
128,33554432,5.129768
128,67108864,4.37314
256,1024,3.197322
256,2048,2.844046
256,4096,3.236682
256,8192,3.273443
256,16384,3.051592
256,32768,2.605957
256,65536,2.982706
256,131072,2.737234
256,262144,2.945483
256,524288,3.144637
256,1048576,3.031611
256,2097152,3.063854
256,4194304,2.899206
256,8388608,2.973854
256,16777216,2.951081
256,33554432,2.908463
256,67108864,2.542205
512,1024,1.695713
512,2048,1.74487
512,4096,1.820068
512,8192,1.778103
512,16384,1.86188
512,32768,1.882649
512,65536,1.691742
512,131072,1.771586
512,262144,1.723911
512,524288,1.807575
512,1048576,1.745725
512,2097152,1.781669
512,4194304,1.781789
512,8388608,1.759854
512,16777216,1.735012
512,33554432,1.766065
512,67108864,1.611658
1024,1024,1.351838
1024,2048,1.554363
1024,4096,1.524308
1024,8192,1.332651
1024,16384,1.57072
1024,32768,1.3123
1024,65536,1.319587
1024,131072,1.423137
1024,262144,1.585391
1024,524288,1.320277
1024,1048576,1.418237
1024,2097152,1.276305
1024,4194304,1.537959
1024,8388608,1.588946
1024,16777216,1.323121
1024,33554432,1.256079
1024,67108864,1.601211
2048,1024,1.440825
2048,2048,1.19213
2048,4096,1.527875
2048,8192,1.586662
2048,16384,1.208632
2048,32768,1.225631
2048,65536,1.197326
2048,131072,1.250586
2048,262144,1.233692
2048,524288,1.191937
2048,1048576,1.573156
2048,2097152,1.620613
2048,4194304,1.205618
2048,8388608,1.604852
2048,16777216,1.55181
2048,33554432,1.194715
2048,67108864,1.186312
4096,1024,1.513699
4096,2048,1.525078
4096,4096,1.549504
4096,8192,1.13216
4096,16384,1.557698
4096,32768,1.136879
4096,65536,1.54785
4096,131072,1.178521
4096,262144,1.505757
4096,524288,1.150623
4096,1048576,1.138178
4096,2097152,1.1444
4096,4194304,1.562751
4096,8388608,1.523265
4096,16777216,1.564364
4096,33554432,1.497051
4096,67108864,1.543355
8192,1024,1.237523
8192,2048,1.518464
8192,4096,1.154817
8192,8192,1.289012
8192,16384,1.113115
8192,32768,1.514444
8192,65536,1.126964
8192,131072,1.123618
8192,262144,1.13128
8192,524288,1.149537
8192,1048576,1.540726
8192,2097152,1.514329
