block size,buffer size,time
2,2,0.330976
2,4,0.296398
2,8,0.293944
2,16,0.30969
2,32,0.254477
2,64,0.286431
2,128,0.270563
2,256,0.267707
2,512,0.263245
2,1024,0.270206
2,2048,0.258641
2,4096,0.255555
2,8192,0.205354
2,16384,0.225261
2,32768,0.238007
2,65536,0.224843
4,2,0.161385
4,4,0.15934
4,8,0.143933
4,16,0.158915
4,32,0.148186
4,64,0.152051
4,128,0.104714
4,256,0.095421
4,512,0.125533
4,1024,0.123574
4,2048,0.111652
4,4096,0.121886
4,8192,0.114592
4,16384,0.097132
4,32768,0.101541
4,65536,0.092295
8,2,0.071973
8,4,0.077607
8,8,0.073859
8,16,0.071135
8,32,0.066283
8,64,0.071876
8,128,0.0712
8,256,0.049962
8,512,0.059309
8,1024,0.056038
8,2048,0.063322
8,4096,0.056981
8,8192,0.056782
8,16384,0.0516
8,32768,0.055826
8,65536,0.050567
16,2,0.04166
16,4,0.034765
16,8,0.037657
16,16,0.032434
16,32,0.034983
16,64,0.031884
16,128,0.029296
16,256,0.03235
16,512,0.030659
16,1024,0.029406
16,2048,0.025306
16,4096,0.025626
16,8192,0.026438
16,16384,0.023237
16,32768,0.018236
16,65536,0.023692
32,2,0.020369
32,4,0.019611
32,8,0.019243
32,16,0.018024
32,32,0.020753
32,64,0.016652
32,128,0.016603
32,256,0.013291
32,512,0.015428
32,1024,0.015223
32,2048,0.017434
32,4096,0.013099
32,8192,0.016669
32,16384,0.013662
32,32768,0.013256
32,65536,0.015654
64,2,0.009889
64,4,0.010816
64,8,0.00999
64,16,0.011209
64,32,0.010536
64,64,0.007656
64,128,0.008369
64,256,0.007772
64,512,0.007972
64,1024,0.007571
64,2048,0.007185
64,4096,0.009243
64,8192,0.00757
64,16384,0.007534
64,32768,0.007315
64,65536,0.007829
128,2,0.006137
128,4,0.00516
128,8,0.005488
128,16,0.00567
128,32,0.005267
128,64,0.004872
128,128,0.005162
128,256,0.005121
128,512,0.004273
128,1024,0.004042
128,2048,0.004453
128,4096,0.005154
128,8192,0.004915
128,16384,0.003746
128,32768,0.004738
128,65536,0.004324
256,2,0.004013
256,4,0.003702
256,8,0.003432
256,16,0.002994
256,32,0.002931
256,64,0.003499
256,128,0.003619
256,256,0.002823
256,512,0.002857
256,1024,0.00313
256,2048,0.003281
256,4096,0.003365
256,8192,0.003317
256,16384,0.003255
256,32768,0.003203
256,65536,0.00281
512,2,0.002813
512,4,0.003043
512,8,0.0024
512,16,0.001791
512,32,0.001823
512,64,0.002691
512,128,0.002866
512,256,0.002327
512,512,0.002189
512,1024,0.002352
512,2048,0.002638
512,4096,0.002211
512,8192,0.002848
512,16384,0.002515
512,32768,0.002699
512,65536,0.002785
1024,2,0.001786
1024,4,0.002131
1024,8,0.001713
1024,16,0.001689
1024,32,0.002316
1024,64,0.001641
1024,128,0.002125
1024,256,0.001932
1024,512,0.001682
1024,1024,0.00217
1024,2048,0.002605
1024,4096,0.002434
1024,8192,0.002535
1024,16384,0.001976
1024,32768,0.00198
1024,65536,0.002174
2048,2,0.001937
2048,4,0.002368
2048,8,0.001938
2048,16,0.002024
2048,32,0.002003
2048,64,0.001885
2048,128,0.002021
2048,256,0.001953
2048,512,0.001757
2048,1024,0.00144
2048,2048,0.001676
2048,4096,0.001529
2048,8192,0.002694
2048,16384,0.002632
2048,32768,0.002517
2048,65536,0.002323
4096,2,0.002194
4096,4,0.002491
4096,8,0.002304
4096,16,0.001889
4096,32,0.001853
4096,64,0.001726
4096,128,0.001705
4096,256,0.001683
4096,512,0.002229
4096,1024,0.001684
4096,2048,0.00202
4096,4096,0.001937
4096,8192,0.001669
4096,16384,0.002295
4096,32768,0.002708
4096,65536,0.002184
8192,2,0.002251
8192,4,0.002553
8192,8,0.001846
8192,16,0.001568
8192,32,0.001678
8192,64,0.001703
8192,128,0.001804
8192,256,0.001907
8192,512,0.002368
8192,1024,0.002422
8192,2048,0.001903
8192,4096,0.001519
8192,8192,0.001533
8192,16384,0.001495
8192,32768,0.002226
8192,65536,0.001909
16384,2,0.001686
16384,4,0.002223
16384,8,0.002207
16384,16,0.001894
16384,32,0.001599
16384,64,0.001507
16384,128,0.001948
16384,256,0.002235
16384,512,0.001248
16384,1024,0.001514
16384,2048,0.001711
16384,4096,0.001762
16384,8192,0.001473
16384,16384,0.002216
16384,32768,0.001941
16384,65536,0.001745
32768,2,0.001809
32768,4,0.001283
32768,8,0.001276
32768,16,0.001293
32768,32,0.00132
32768,64,0.001867
32768,128,0.001548
32768,256,0.00187
32768,512,0.00154
32768,1024,0.001787
32768,2048,0.001271
32768,4096,0.002199
32768,8192,0.00226
32768,16384,0.001953
32768,32768,0.002113
32768,65536,0.001686
65536,2,0.001831
65536,4,0.001887
65536,8,0.0019
65536,16,0.001937
65536,32,0.002124
65536,64,0.00177
65536,128,0.002048
65536,256,0.001892
65536,512,0.001572
65536,1024,0.001727
65536,2048,0.001828
65536,4096,0.00194
65536,8192,0.001843
65536,16384,0.001796
65536,32768,0.001864
65536,65536,0.002239
